msd,ls,pressure
49299.999999998836,167.36872335871436,763.3784041527642
49300.0416666655,167.3919264225808,764.046848004554
49300.083333332164,167.41513139780926,768.2006019265609
49300.12499999883,167.43833801980384,770.6519356204901
49300.16666666549,167.46154635366432,773.0520253569711
49300.20833333216,167.48475641184467,773.0705482329458
49300.24999999882,167.5079681943972,773.8981903715941
49300.291666665486,167.53118170140823,786.2735845859846
49300.33333333215,167.55439693301952,793.3035109866103
49300.374999998814,167.5776138890522,777.5549516390652
49300.41666666548,167.60083257163734,757.4555358081429
49300.45833333214,167.6240548817826,744.8795275499531
49300.49999999881,167.64728966985507,732.7407868378211
49300.54166666547,167.67052445792757,722.5122500971607
49300.583333332135,167.693759246,713.0675248237641
49300.6249999988,167.71699403407248,702.771818612882
49300.666666665464,167.74022882214496,697.867063102369
49300.70833333213,167.76346361021746,695.6792926586104
49300.74999999879,167.78669839828993,701.1650100795963
49300.79166666546,167.80993318636237,724.739284646774
49300.83333333212,167.83316797443484,744.032586714126
49300.874999998785,167.85640276250734,743.323146011672
49300.91666666545,167.87963755057982,747.1123178887173
49300.95833333211,167.90287233865226,760.1035008265496
49300.99999999878,167.92610712672473,763.9025486998639
49301.04166666544,167.94934191479717,764.356701040681
49301.083333332106,167.97257670286967,768.6824213607867
49301.12499999877,167.99581415123964,771.4239960205324
49301.166666665435,168.01906389817856,773.6700154705917
49301.2083333321,168.04231537099076,773.4820125287182
49301.24999999876,168.06556857171006,774.5292879793574
49301.29166666543,168.08882340094345,787.1975162533256
49301.33333333209,168.11208014448968,794.0747846541914
49301.374999998756,168.135338535539,777.8484796028764
49301.41666666542,168.15859854659342,757.5852015622906
49301.458333332084,168.18186047363048,745.3358140035168
49301.49999999875,168.2051240457476,733.3891995537697
49301.54166666541,168.22838933813821,723.003236232264
49301.58333333208,168.2516563583038,713.464787882925
49301.62499999874,168.2749251066515,703.129559346498
49301.666666665406,168.29819548326427,698.191477852652
49301.70833333207,168.321467776117,696.110311051792
49301.749999998734,168.34474171856633,701.4812817628215
49301.7916666654,168.36801727975106,724.8534461258034
49301.83333333206,168.39129475780663,744.4137584822021
49301.87499999873,168.41457388419437,743.6989375490996
49301.91666666539,168.43785473053492,746.8247887326627
49301.958333332055,168.46113720676493,759.7135715014351
49301.99999999872,168.48442160022262,763.9750675004855
49302.041666665384,168.5077076422207,764.5393363859617
49302.08333333205,168.5309953043885,769.1211233252751
49302.12499999871,168.5542848841995,772.3265130101811
49302.16666666538,168.57757611402803,774.5265726880943
49302.20833333204,168.60086906193402,774.2368557289678
49302.249999998705,168.62416364270126,775.4925155311959
49302.29166666537,168.64746014082007,788.2424384135052
49302.33333333203,168.67075828807788,795.0049213326454
49302.3749999987,168.69405815438165,778.4948528533941
49302.41666666536,168.7173596533759,757.9035848316436
49302.458333332026,168.74066307025402,745.7357236791261
49302.49999999869,168.76396813672284,733.9730414527497
49302.541666665355,168.7872749245998,723.3106929266426
49302.58333333202,168.81058334266885,713.5225628689457
49302.62499999868,168.83389367988346,703.3895214274195
49302.66666666535,168.85720566732638,698.6885920420631
49302.70833333201,168.88051937678858,696.6709722124361
49302.749999998676,168.90383471670626,702.0566800609446
49302.79166666534,168.92715197597545,725.3622032503466
49302.833333332004,168.9504708855849,744.8568801705912
49302.87499999867,168.9737915171258,744.287965711271
49302.91666666533,168.99711378158244,747.6557285221705
49302.958333332,169.02043796468578,760.4923684562126
49302.99999999866,169.0437637987372,764.3981219646574
49303.041666665325,169.06709135474728,764.8155680516593
49303.08333333199,169.09042064571665,769.5630822799857
49303.124999998654,169.1137516606566,772.9073603930548
49303.16666666532,169.1370844113982,775.2064258802966
49303.20833333198,169.16041879435642,775.0700022245786
49303.24999999865,169.1837550975474,776.34744100223
49303.29166666531,169.2070930523869,788.9983070973501
49303.333333331975,169.23043272905417,795.7304791592102
49303.37499999864,169.25377403996418,779.1657168709172
